date,symbol,side,entry_price,entry_time,exit_price,exit_time,shares,pnl,pnl_pct,reason,partials,duration_min,commission,pnl_per_share
20250929,XPEV,LONG,23.27,2025-09-29T14:50:50-04:00,23.23,2025-09-29T18:57:50+00:00,1000,-53.25,-0.23,15MIN_RULE,0,7.0,10.00,-0.05
20250929,XPEV,LONG,23.25,2025-09-29T14:57:55-04:00,23.20,2025-09-29T19:04:55+00:00,1000,-63.23,-0.27,15MIN_RULE,0,7.0,10.00,-0.06
20250929,NIO,SHORT,6.93,2025-09-29T10:12:05-04:00,6.93,2025-09-29T14:19:05+00:00,1000,-6.94,-0.10,15MIN_RULE,0,7.0,10.00,-0.01
20250929,NIO,SHORT,6.92,2025-09-29T10:19:10-04:00,6.94,2025-09-29T14:26:10+00:00,1000,-26.93,-0.39,15MIN_RULE,0,7.0,10.00,-0.03
20250929,CLOV,SHORT,3.14,2025-09-29T11:27:55-04:00,3.15,2025-09-29T15:34:55+00:00,1000,-17.85,-0.57,15MIN_RULE,0,7.0,10.00,-0.02
20250929,CLOV,SHORT,3.14,2025-09-29T11:35:20-04:00,3.15,2025-09-29T15:42:20+00:00,1000,-16.85,-0.54,15MIN_RULE,0,7.0,10.00,-0.02
20250929,PYPL,LONG,68.95,2025-09-29T10:15:30-04:00,70.36,2025-09-29T15:06:40+00:00,1000,776.12,1.13,TRAIL_STOP,4,51.2,10.00,0.78
20250929,PYPL,LONG,68.90,2025-09-29T13:43:00-04:00,69.67,2025-09-29T19:59:55+00:00,1000,766.17,1.11,EOD,3,136.9,10.00,0.77
20250930,SNAP,SHORT,8.29,2025-09-30T09:46:55-04:00,7.79,2025-09-30T17:34:45+00:00,1000,404.20,4.87,TRAIL_STOP,4,227.8,10.00,0.40
20250930,NFLX,SHORT,1181.77,2025-09-30T10:37:20-04:00,1183.51,2025-09-30T14:44:20+00:00,65,-113.94,-0.15,15MIN_RULE,0,7.0,0.65,-1.75
20250930,NFLX,SHORT,1182.33,2025-09-30T10:44:25-04:00,1185.65,2025-09-30T14:51:25+00:00,64,-213.34,-0.28,15MIN_RULE,0,7.0,0.64,-3.33
20250930,XOM,SHORT,112.86,2025-09-30T09:50:25-04:00,113.36,2025-09-30T13:57:25+00:00,1000,-512.97,-0.45,15MIN_RULE,0,7.0,10.00,-0.51
20250930,XOM,SHORT,113.02,2025-09-30T10:02:00-04:00,113.06,2025-09-30T14:09:00+00:00,1000,-53.13,-0.05,15MIN_RULE,0,7.0,10.00,-0.05
20251001,SNAP,SHORT,7.65,2025-10-01T10:20:05-04:00,7.65,2025-10-01T14:27:10+00:00,1000,-7.66,-0.10,15MIN_RULE,0,7.1,10.00,-0.01
20251001,SNAP,SHORT,7.64,2025-10-01T10:27:15-04:00,7.64,2025-10-01T14:34:25+00:00,1000,-7.65,-0.10,15MIN_RULE,0,7.2,10.00,-0.01
20251001,RBLX,SHORT,135.43,2025-10-01T10:40:10-04:00,135.52,2025-10-01T14:47:10+00:00,567,-54.19,-0.07,15MIN_RULE,0,7.0,5.67,-0.10
20251001,RBLX,SHORT,135.44,2025-10-01T10:47:15-04:00,135.38,2025-10-01T14:55:00+00:00,567,30.86,0.04,15MIN_RULE,0,7.8,5.67,0.05
20251001,PINS,SHORT,31.87,2025-10-01T09:47:55-04:00,31.95,2025-10-01T14:00:20+00:00,1000,-69.74,-0.22,TRAIL_STOP,1,12.4,10.00,-0.07
20251001,PINS,SHORT,31.86,2025-10-01T10:00:25-04:00,31.93,2025-10-01T14:02:25+00:00,1000,-64.70,-0.20,TRAIL_STOP,1,2.0,10.00,-0.06
20251001,JD,LONG,36.03,2025-10-01T10:18:55-04:00,36.05,2025-10-01T14:25:55+00:00,1000,14.01,0.04,15MIN_RULE,0,7.0,10.00,0.01
20251001,JD,LONG,36.11,2025-10-01T10:26:00-04:00,35.92,2025-10-01T14:33:00+00:00,1000,-196.07,-0.54,15MIN_RULE,0,7.0,10.00,-0.20
20251001,BBBY,LONG,9.77,2025-10-01T09:46:55-04:00,9.72,2025-10-01T13:53:55+00:00,1000,-59.76,-0.61,15MIN_RULE,0,7.0,10.00,-0.06
20251001,BBBY,LONG,9.76,2025-10-01T09:56:20-04:00,9.72,2025-10-01T14:03:20+00:00,1000,-49.75,-0.51,15MIN_RULE,0,7.0,10.00,-0.05
20251001,C,SHORT,98.84,2025-10-01T13:09:05-04:00,99.09,2025-10-01T17:16:05+00:00,777,-201.20,-0.26,15MIN_RULE,0,7.0,7.77,-0.26
20251001,C,SHORT,98.99,2025-10-01T13:16:10-04:00,99.21,2025-10-01T17:23:10+00:00,776,-177.77,-0.23,15MIN_RULE,0,7.0,7.76,-0.23
